Datum	Event_Name	Venue
2023-05-03	Soundpainting & Lyrik | presented by Signs...	kulturcafe max
2023-05-04	KNH-Open House | Workshop | Kräuterschmau...	kulturcafe max
2023-05-04	KNH-Tiny Gallery #14 | Franziska King | Ve...	cafe max
2023-05-04	on the couch #82 - Mitterer/Eberhard/Gross	studio eberhard
2023-05-05	STEEL GIRLS	alte schmiede
2023-05-05	Interrupted system call ++ Gnigler/Schneider	rhiz
2023-05-06	snim feat. Dilate Ensemble – an audiovis...	echoraum
2023-05-07	zu Gast | mo:st	kulturcafe max
2023-05-08	monday improvisers session	celeste
2023-05-09	Vernissage Katharina Ernst: So Many Ways �...	echoraum
2023-05-10	sooon !	central garden
2023-05-11	FMF: CUT Trio Feichtmair / Resnik / Kušar...	celeste
2023-05-11	Musik unterm Mandelbaum #3	echoraum
2023-05-11	KNH-Open House | Workshop | Clownerie Schn...	kulturcafe max
2023-05-12	dieb13 & billy roisz	breitenseer lichtspiele
2023-05-12	smallforms	chateau rouge
2023-05-14	Eichenberger & Gallio	ruprechtskirche
2023-05-15	monday improvisers session	celeste
2023-05-16	Lisa Spalt & die Ex-Gewichtsheberin: Auf d...	echoraum
2023-05-17	20h30 der bloede dritte mittwoch #128	flucc
2023-05-18	Salon skug	rhiz
2023-05-20	Kastenkonzert #41	modul
2023-05-22	monday improvisers session	celeste
2023-05-23	Castello new release presentation	klangtheater
2023-05-24	jerome noetinger & dieb13: |  billy roisz	westbahnstudios
2023-05-25	FMF: Trio Métamaât - Bazelaire / Romary ...	celeste
2023-05-25	KNH-Open House | Workshop | Färben mit Bl...	kulturcafe max
2023-05-26	Duo Katharina Gross & Fie Schouten	ruprechtskirche
2023-05-27	Huber/Winter/Hvizdalek: Open Roads	echoraum
2023-05-29	monday improvisers session	celeste
2023-05-30	XX Y X: Maria Peters & Vera Sebert	echoraum
2023-05-31	20h Studio Dan – Studio Session #7	westbahnstudios
2023-06-01	KNH-Open House | Buchbinden | Workshop	kulturcafe max
2023-06-02	angry birds	echoraum
2023-06-02	smallforms	chateau rouge
2023-06-02	on the couch #83 - Alexander J. Eberhard/R...	studio eberhard
2023-06-02	beauchamp*geissler (finissage: ma jia) @ XIAN	xian
2023-06-03	Palme/Huang/Fairbairn · Thomas Berghammer	echoraum
2023-06-05	monday improvisers session	celeste
2023-06-07	Sophia Goidinger-Koch · strings&noise	echoraum
2023-06-09	Infra - Pudelek / Mayer / Dinkhauser	ruprechtskirche
2023-06-11	Doppelkonzert – Anna Koch / Olivia De Prato	ruprechtskirche
2023-06-12	monday improvisers session	celeste
2023-06-13	Nachhall #6 im Frau*feld: Musik & Stille	echoraum
2023-06-14	Homo Digitalis | Intelligenz am Ende der W...	kulturcafe max
