Datum,Venue,Event_Name,Event_Typ,Bezirk,Kuenstler:innen,Veranstalter,Verein,Foerderung_ref,Quelle,Programm
2024-06-08,Porgy & Bess Jazz& Music Club,24 Stunden mit JazzWerkstatt,Festival,1,Vivid Consort (Christine Gnigler | Sheng-Fang Chiu | Lorina Vallaster) | ZNAP (Leonhard Skorupa | Gregor Aufmesser | Lukas Aichinger) | HALS (Anna Anderluh | Amina Bouroyen | Verena Loipetsberger | Anna Laszlo) | Kasho Chualan | The Clonious | WH/M (Beate Wiesinger | Philipp Jagschitz | Michal Wierzgon) | Maxi Nagl | Manu Mayr | DJ Pablo Herrasti | Well Behaved (Tobias Fallenegger | Maximilian Erler | Mina Franzke) | Asja Valcic | Raphael Preuschl | MASH trio (Mahan Mirarab | Vincent Pongracz | András Dés) | Florian Supancic Octet (Florian Supancic | Alana Macpherson | Karel Eriksson | Stefan Schinnerl | Katarina Kochetova | Christopher Pawluk | Hrvoje Kralj | Jan Samson Krizanic) | Valentin Duit Quartet (Valentin Duit | Robert Unterköfler | Tobias Meissl | Ivar Roban Križić) | fs:eins (Viola Falb | Bernd Satzinger) | Fumagalli (Benedikt Reising | Marco Müller) feat. Martin Eberle | Pamelia Stickney | Georg Vogel | Anja Om Plus (Anja Obermayer | Veronika Sterrer | Ursula Reicher | Ricarda Oberneder | Mira Perusich) | The Answer is No (Maja Osojnik | Ursula Winterauer) | Clemens Salesny | Lorenz Widauer Quartet (Lorenz Widauer | Philipp Schiepek | Michael Acker | Matheus Jardim) | Ve Resin (Sophia Goidinger-Koch) | KDM Trio (Katarina Kochetova | David Dollinger | Matheus Jardim) ft. Kejdi Barbullushi | Max Nagl | Clemens Wenger,JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE,schalltaucherin.com,24 Stunden mit JazzWerkstatt Wien
2024-06-03,Gartenbaukino,JEFF MILLS PERFORMS METROPOLIS,Konzert,1,Jeff Mills,Gartenbaukino,[nicht dokumentiert],[nicht dokumentiert],schalltaucherin.com,
2024-05-24,Otto Wagner Areal,HYPERREALITY,Festival,14,Spresso | Nu Jazz,SISTERS,SISTERS - Verein für queer feministische Kunst und Kultur,BMKöS,[nicht dokumentiert],HYPERREALITY
2024-05-13,Celeste,Monday Improvisers Session,Sessionn | Improvisation,6,[nicht dokumentiert],Celeste,Verein für experimentelle improvisierte Musik (VEIM),MA7 | BMKöS | SKE,schalltaucherin.com,Monday Improvisers Session
2024-04-11,Porgy & Bess Jazz& Music Club,JazzWerkstatt Wien,Konzert,1,The Sleep,JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE,schalltaucherin.com,JazzWerkstatt Wien
2024-04-07,rhiz,liccht,Konzert,8,Antropods (Mark Holub | Clemens Sainitzer | Irene Kepl | Susanna Gartmayer | Jakob Gnigler),liccht,liccht - kulturverein für nischenmusik und populärkultur,MA7,schalltaucherin.com,liccht
2024-04-03,Vekks,[nicht dokumentiert],Konzert,12,Lenhart Tapes | Zoja Borovčanin,Vekks,Verein zur Erweiterung des kulturellen und künstlerischen Spektrums (VEKKS),MA7,schalltaucherin.com,Vekks
2024-03-27,rhiz,Synesthetic Wednesday,Konzert,8,Jelena Popržan | Herbert Pirker | Karl Ritter,Vincent Pongracz | Yvonne Moriel | rhiz,Vincent Pongracz,MA7,schalltaucherin.com,Synesthetic Wednesday
2024-03-25,Celeste,Monday Improvisers Session,Sessionn | Improvisation,6,[nicht dokumentiert],Celeste,Verein für experimentelle improvisierte Musik (VEIM),MA7 | BMKöS | SKE,schalltaucherin.com,Monday Improvisers Session
2024-03-19,CENTRAL GARDEN,IMPROVISATIONS,Konzert,2,Markus Schneider | Lukas König | Thomas Berghammer,Central Garden,Central Garden,MA7,schalltaucherin.com,
2024-03-14,The Loft,DE/SEMBLE,Konzert,9,Temp-Illusion | Pink Oculus | Victoria Kirilova | Viola Falb,DE/SEMBLE,"""Vienna.ACTS"", Verein zur Förderung von Kunst",MA7 | BMKöS | SKE,https://www.de-semble.at/,DE/SEMBLE Festival
2024-02-21,Theater am Werk / Petersplatz,Der Blöde Dritte Mittwoch,Konzert,1,Christina Ruf | Eric Arn | Stefan Tiefengraber,Der Blöde Dritte Mittwoch,Verein für Kunstvermischung,MA7,schalltaucherin.com,Der Blöde Dritte Mittwoch
2024-02-07,FLUCC,Jaako Eino Kalevi + Garagen Uwe|Jelena Mirčeta,Konzert,2,Jaako Eino Kalevi | Garagen Uwe | Jelena Mirčeta,flucc,Verein Kulturzentrum FLUCC,MA7,schalltaucherin.com,FLUCC
2024-01-19,REAKTOR,ei gen klang,Konzert,17,ei gen klang (Bernhard Hadriga | Flora Geisselbrecht | Jul Dillier),REAKTOR,[nicht dokumentiert],[nicht dokumentiert],schalltaucherin.com,
2023-12-30,CENTRAL GARDEN,LIVE: Auserwöger Kern Krist,Konzert,2,Didi Kern | Philipp Quehenberger | Michael Fischer,Central Garden,Central Garden,MA7,schalltaucherin.com,
2023-12-19,rhiz,Cosmic Tuesday,Konzert,8,Cosmic Tuesday (Aaron Steiner | Michael Naphegyi | Joachim Huber) ft. Millycent (Emily Groz),Teleport Collective,Rantasa + Rantasa GmbH,MA7 | BMKöS,schalltaucherin.com,rhiz
2023-12-18,Celeste,Monday Improvisers Session,Sessionn | Improvisation,6,[nicht dokumentiert],Celeste,Verein für experimentelle improvisierte Musik (VEIM),MA7 | BMKöS | SKE,schalltaucherin.com,Monday Improvisers Session
2023-12-13,rhiz,Peter Rom - Wanting Machine,Konzert,8,Peter Rom - Wanting Machine (Manu Mayr | Pamelia Stickney | Michael Prowaznik),rhiz,Rantasa + Rantasa GmbH,MA7 | BMKöS,schalltaucherin.com,Peter Rom
2023-11-29,rhiz,Synesthetic Wednesday,Konzert,8,Synesthetic4 (Vincent Pongracz | Peter Rom | Manuel Mayr) | Matheus Jardim,Vincent Pongracz | Yvonne Moriel | rhiz,Vincent Pongracz,MA7,schalltaucherin.com,Synesthetic Wednesday
2023-11-28,rhiz,Cosmic Tuesday,Konzert,8,Teleport Collective (Aaron Steiner | Michael Naphegyi | Joachim Huber) | Ruhullah Aziz,Teleport Collective,Rantasa + Rantasa GmbH,MA7 | BMKöS,schalltaucherin.com,rhiz
2023-11-22,Theater am Werk / Petersplatz,Der Blöde Dritte Mittwoch,Konzert,1,Rotterdam (Susanne Amann | Michael Klauser) | Music for Black Holes (Kasho Chuala | Kaspar Kuoppamaki) BROKEN HYPNO,Der Blöde Dritte Mittwoch,Verein für Kunstvermischung,MA7,schalltaucherin.com,Der Blöde Dritte Mittwoch
2023-11-14,Porgy & Bess Jazz& Music Club,Wien Modern - More Breaking News,Festival,1,Flash 1020 (Lukas König | Studio Dan),Wien Modern,"Wien Modern, Verein für neue Musik",MA7,schalltaucherin.com,Wien Modern
2023-11-11,rhiz,Suteren Listening Session #2,Konzert,8,everybody knows kokoroko | spit into my eye,[nicht dokumentiert],Rantasa + Rantasa GmbH,MA7 | BMKöS,schalltaucherin.com,Suteren Listening Session
2023-11-08,Porgy & Bess Jazz& Music Club,Irreversible Entanglements,Konzert,1,Irreversible Entanglements (Camae Ayewa | Luke Stewart | Tcheser Holmes | Aquiles Navarro | Keir Neuringer),Porgy & Bess,Jazz & Musicclub Porgy & Bess,MA7 | BMKöS,schalltaucherin.com,Porgy & Bess
2023-11-07,AIL Angewandte,Wien Modern - Phantom Voltage,Konzert,1,Phantom Voltage (Peter Kutin | Florian Kindlinger | Christina Kubisch | Matthias Lenz | Liesl Raff),Wien Modern | AIL,"Wien Modern, Verein für neue Musik",MA7 | BMKöS,schalltaucherin.com,Wien Modern
2023-10-27,REAKTOR,DE/ENSEMBLE,Konzert,17,Rdeča Raketa (Maja Osojnik | Matija Schellander) | Patrick K.-H. | Dance of Gentleness (Miriam Adefris | Mona Matbou Riahi) Lukas Kranzelbinder) | Anna Tsombanis | Sofia Labropoulou | Alireza Toghiyani,DE/SEMBLE,"""Vienna.ACTS"", Verein zur Förderung von Kunst",MA7 | BMKöS | SKE,schalltaucherin.com,DE/SEMBLE Festival
2023-11-14,Porgy & Bess Jazz& Music Club,Wien Modern - More Breaking News,Konzert,1,Zones 2023 (Ingrid Laubrock | Studio Dan),Wien Modern,"Wien Modern, Verein für neue Musik",MA7,schalltaucherin.com,Wien Modern
2024-06-08,Porgy & Bess Jazz& Music Club,24 Stunden mit Jazz Werkstatt,Konzert,1,Vivid Consort (Christine Gnigler | Sheng-Fang Chiu | Lorina Vallaster),JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE,schalltaucherin.com,24 Stunden mit JazzWerkstatt Wien
2024-06-08,Porgy & Bess Jazz& Music Club,24 Stunden mit Jazz Werkstatt,Konzert,1,ZNAP (Leonhard Skorupa | Gregor Aufmesser),JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE,schalltaucherin.com,24 Stunden mit JazzWerkstatt Wien
2024-06-08,Porgy & Bess Jazz& Music Club,24 Stunden mit Jazz Werkstatt,Konzert,1,HALS (Anna Anderluh | Amina Bouroyen | Verena Loipetsberger | Anna Laszlo),JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE,schalltaucherin.com,24 Stunden mit JazzWerkstatt Wien
2024-06-08,Porgy & Bess Jazz& Music Club,24 Stunden mit Jazz Werkstatt,Konzert,1,Kasho Chualan,JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE,schalltaucherin.com,24 Stunden mit JazzWerkstatt Wien
2024-06-08,Porgy & Bess Jazz& Music Club,24 Stunden mit Jazz Werkstatt,Konzert,1,The Clonious,JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE,schalltaucherin.com,24 Stunden mit JazzWerkstatt Wien
2024-06-08,Porgy & Bess Jazz& Music Club,24 Stunden mit Jazz Werkstatt,Konzert,1,WH/M (Beate Wiesinger | Philipp Jagschitz | Michal Wierzgon),JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE,schalltaucherin.com,24 Stunden mit JazzWerkstatt Wien
2024-06-08,Porgy & Bess Jazz& Music Club,24 Stunden mit Jazz Werkstatt,Konzert,1,Maxi Nagl,JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE,schalltaucherin.com,24 Stunden mit JazzWerkstatt Wien
2024-06-08,Porgy & Bess Jazz& Music Club,24 Stunden mit Jazz Werkstatt,Konzert,1,Manu Mayr,JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE,schalltaucherin.com,24 Stunden mit JazzWerkstatt Wien
2024-06-08,Porgy & Bess Jazz& Music Club,24 Stunden mit Jazz Werkstatt,Konzert,1,DJ Pablo Herrasti,JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE,schalltaucherin.com,24 Stunden mit JazzWerkstatt Wien
2024-06-08,Porgy & Bess Jazz& Music Club,24 Stunden mit Jazz Werkstatt,Konzert,1,Well Behaved (Tobias Fallenegger | Maximilian Erler | Mina Franzke),JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE,schalltaucherin.com,24 Stunden mit JazzWerkstatt Wien
2024-06-08,Porgy & Bess Jazz& Music Club,24 Stunden mit Jazz Werkstatt,Konzert,1,Asja Valcic | Raphael Preuschl,JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE,schalltaucherin.com,24 Stunden mit JazzWerkstatt Wien
2024-06-08,Porgy & Bess Jazz& Music Club,24 Stunden mit Jazz Werkstatt,Konzert,1,MASH trio (Mahan Mirarab | Vincent Pongracz | Des Andras),JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE,schalltaucherin.com,24 Stunden mit JazzWerkstatt Wien
2024-06-08,Porgy & Bess Jazz& Music Club,24 Stunden mit Jazz Werkstatt,Konzert,1,Florian Supancic Octet,JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE,schalltaucherin.com,24 Stunden mit JazzWerkstatt Wien
2024-06-08,Porgy & Bess Jazz& Music Club,24 Stunden mit Jazz Werkstatt,Konzert,1,Moin! (Joe Andrews | Valentina Magaletti | Tom Halstead) | Rojin Sharafi | Valentina Magaletti,JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE,schalltaucherin.com,24 Stunden mit JazzWerkstatt Wien
2024-06-08,Porgy & Bess Jazz& Music Club,24 Stunden mit Jazz Werkstatt,Konzert,1,fs:eins (Viola Falb | Bernd Satzinger),JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE,schalltaucherin.com,24 Stunden mit JazzWerkstatt Wien
2024-06-08,Porgy & Bess Jazz& Music Club,24 Stunden mit Jazz Werkstatt,Konzert,1,Fumagalli (Benedikt Reising | Marco Müller) | Martin Eberle,JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE,schalltaucherin.com,24 Stunden mit JazzWerkstatt Wien
2024-06-08,Porgy & Bess Jazz& Music Club,24 Stunden mit Jazz Werkstatt,Konzert,1,Pamelia Stickney | Georg Vogel,JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE,schalltaucherin.com,24 Stunden mit JazzWerkstatt Wien
2024-06-08,Porgy & Bess Jazz& Music Club,24 Stunden mit Jazz Werkstatt,Konzert,1,Anja Om Plus,JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE,schalltaucherin.com,24 Stunden mit JazzWerkstatt Wien
2024-06-08,Porgy & Bess Jazz& Music Club,24 Stunden mit Jazz Werkstatt,Konzert,1,The Answer is No (Maja Osojnik | Ursula Winterauer),JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE,schalltaucherin.com,24 Stunden mit JazzWerkstatt Wien
2024-06-08,Porgy & Bess Jazz& Music Club,24 Stunden mit Jazz Werkstatt,Konzert,1,Clemens Salesny Listening Session,JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE,schalltaucherin.com,24 Stunden mit JazzWerkstatt Wien
2024-06-08,Porgy & Bess Jazz& Music Club,24 Stunden mit Jazz Werkstatt,Konzert,1,Lorenz Widauer Quartet,JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE,schalltaucherin.com,24 Stunden mit JazzWerkstatt Wien
2024-06-08,Porgy & Bess Jazz& Music Club,24 Stunden mit Jazz Werkstatt,Konzert,1,Ve Resin (Sophia Goidinger-Koch),JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE,schalltaucherin.com,24 Stunden mit JazzWerkstatt Wien
2024-06-08,Porgy & Bess Jazz& Music Club,24 Stunden mit Jazz Werkstatt,Konzert,1,KDM Trio (Katarina Kochetova | David Dollinger | Mattheus Jardim) | Kejdi Barbullushi,JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE,schalltaucherin.com,24 Stunden mit JazzWerkstatt Wien
2024-06-08,Porgy & Bess Jazz& Music Club,24 Stunden mit Jazz Werkstatt,Konzert,1,Max Nagl | Clemens Wenger,JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE,schalltaucherin.com,24 Stunden mit JazzWerkstatt Wien
2024-04-11,Porgy & Bess Jazz& Music Club,jazz werkstatt,Konzert,1,The Sleep of Reason Produces Monsters (Mariam Rezaei | Lukas König | Gabriele Mitelli | Mette Rasmussen),JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE,schalltaucherin.com,JazzWerkstatt Wien
2024-04-11,Porgy & Bess Jazz& Music Club,jazz werkstatt,Konzert,1,Kurdophone (Amir Ahmadi | Sarvin Hazin | Omid Darvish | Helene Glüxam | Amir Wahba),JazzWerkstatt Wien,JazzWerkstatt Wien,MA7 | BMKöS | SKE,schalltaucherin.com,JazzWerkstatt Wien
2024-04-10,rhiz,Synesthetic Wednesday,Konzert,8,Yvonne Moriel | Valentin Duit | Vincent Pongracz | Alexander Kranabetter,Vincent Pongracz | Yvonne Moriel | rhiz,Vincent Pongracz,MA7 | BMKöS | SKE,schalltaucherin.com,Synesthetic Wednesday
2024-04-10,rhiz,Synesthetic Wednesday,Konzert,8,Alexander Kranabetter,Vincent Pongracz | Yvonne Moriel | rhiz,Vincent Pongracz,MA7,schalltaucherin.com,Synesthetic Wednesday
2024-04-10,rhiz,Synesthetic Wednesday,Konzert,8,Yvonne Moriel | Sophie Abraham,Vincent Pongracz | Yvonne Moriel | rhiz,Vincent Pongracz,MA7,schalltaucherin.com,Synesthetic Wednesday
2024-04-07,rhiz,liccht,Konzert,8,Antropods (Mark Holub,liccht,liccht - kulturverein für nischenmusik und populärkultur,MA7,schalltaucherin.com,liccht
2024-04-07,rhiz,liccht,Konzert,8,Beyond the Beat (Judith Schwarz | Clemens Sainitzer | Irene Kepl | Susanna Gartmayer | Jakob Gnigler | Arthur Fussy),liccht,liccht - kulturverein für nischenmusik und populärkultur,MA7,schalltaucherin.com,liccht
2024-04-03,Vekks,Lenhart Tapes,Konzert,12,Lenhart Tapes | Zoja Borovčanin,Vekks,Verein zur Erweiterung des kulturellen und künstlerischen Spektrums (VEKKS),MA7,schalltaucherin.com,Vekks
2024-03-27,rhiz,Synesthetic Wednesday,Konzert,8,Jelena Popržan | Herbert Pirker | Karl Ritter,Vincent Pongracz | Yvonne Moriel | rhiz,Vincent Pongracz,MA7,schalltaucherin.com,Synesthetic Wednesday
2024-03-25,Celeste,Monday Improvisers Session,Konzert,6,Lisa Hofmaninger | Tobias Vedovelli | Todd Clouser,Celeste,Verein für experimentelle improvisierte Musik (VEIM),MA7 | BMKöS | SKE,https://klingt.org/gro.tgnilk/events/12763/index.html?sid=14298401013344652,Monday Improvisers Session
2024-05-13,Celeste,Monday Improvisers Session,Konzert,6,Kasho Chualan | Daniel Lercher,Celeste,Verein für experimentelle improvisierte Musik (VEIM),MA7 | BMKöS | SKE,https://klingt.org/gro.tgnilk/events/12763/index.html?sid=14298401013344652,Monday Improvisers Session
2025-07-11,Zacherlfabrik,PARKEN 2025 (Season No. 10) - Tag 1,Festival,19,Marcus Schmickler | Jana Winderen | Inou Ki Endo | Andrea Ida,Robert Schwarz | Shilla Strelka | Bernhard Tobola,"PARKEN, Verein zur Förderung experimenteller Musik im öffentlichem Raum",MA7,Eigenorganisation / Social Media,PARKEN
2025-07-12,Zacherlfabrik,PARKEN 2025 (Season No. 10) - Tag 2,Festival,19,Marcus Schmickler | Jana Winderen | Inou Ki Endo | Andrea Ida,Robert Schwarz | Shilla Strelka | Bernhard Tobola,"PARKEN, Verein zur Förderung experimenteller Musik im öffentlichem Raum",MA7,Eigenorganisation / Social Media,PARKEN
2024-07-20,Zacherlfabrik,PARKEN 2024 (Etat / Superpang Special) - Tag 1,Festival,19,Jasmine Guffond | RM Francis | Jonas Gruska | Robert Schwarz | Haskii | Jung An Tagen,Robert Schwarz | Shilla Strelka | Bernhard Tobola,"PARKEN, Verein zur Förderung experimenteller Musik im öffentlichem Raum",MA7,Facebook Event / Social Media,PARKEN
2024-07-21,Zacherlfabrik,PARKEN 2024 (Etat / Superpang Special) - Tag 2,Festival,19,Evol | Isabella Forciniti | Zak | CKS | Andrea Ida | Friedl Pichler,Robert Schwarz | Shilla Strelka | Bernhard Tobola,"PARKEN, Verein zur Förderung experimenteller Musik im öffentlichem Raum",MA7,Facebook Event / Social Media,PARKEN
2023-08-05,Zacherlfabrik,PARKEN 2023 - Tag 1,Festival,19,Albert Mayr | Daphne X | Jung An Tagen | Optokoppler | Lee Fraser | Inou Ki Endo | Haskii,Robert Schwarz | Shilla Strelka | Bernhard Tobola,"PARKEN, Verein zur Förderung experimenteller Musik im öffentlichem Raum",MA7,Eigenorganisation / Social Media,PARKEN
2023-08-06,Zacherlfabrik,PARKEN 2023 - Tag 2,Festival,19,Electric Indigo | [nicht dokumentiert],Robert Schwarz | Shilla Strelka | Bernhard Tobola,"PARKEN, Verein zur Förderung experimenteller Musik im öffentlichem Raum",MA7,Eigenorganisation / Social Media,PARKEN
2022-11-15,Das LOT,PARKEN Edition,Konzert,11,alfa00 (Artificial Memory Trace) | Yuzu | DJ CKS,Robert Schwarz | Shilla Strelka | Bernhard Tobola,"PARKEN, Verein zur Förderung experimenteller Musik im öffentlichem Raum",MA7,Das LOT Wien,PARKEN
2026-05-28,das LOT,LOTinConcert: Tatsuya Yoshida x Risa Takeda,Konzert,10,Tatsuya Yoshida | Risa Takeda,ECHOLOT,ECHOLOT - Kulturverein für transdisziplinäre Kunst & Artistic Research,MA7 | BMKöS | Bezirk Favoriten (10. Bezirk),https://www.lot.wien/programm,LOTinConcert
2026-09-04,das LOT,LIVE @ LOT: DUCTAPE / NECRØ,Konzert,10,DUCTAPE | NECRØ,ECHOLOT,ECHOLOT - Kulturverein für transdisziplinäre Kunst & Artistic Research,MA7 | BMKöS | Bezirk Favoriten (10. Bezirk),https://www.lot.wien/programm,LIVE@LOT
2026-09-05,das LOT,LOTinConcert: Isaac Gluten / Emma Winter,Konzert,10,Isaac Gluten | Emma Winter,ECHOLOT,ECHOLOT - Kulturverein für transdisziplinäre Kunst & Artistic Research,MA7 | BMKöS | Bezirk Favoriten (10. Bezirk),https://www.lot.wien/programm,LOTinConcert
2026-09-09,das LOT,LIVE@LOT: distraction4ever / enns,Konzert,10,distraction4ever | enns,ECHOLOT,ECHOLOT - Kulturverein für transdisziplinäre Kunst & Artistic Research,MA7 | BMKöS | Bezirk Favoriten (10. Bezirk),https://www.lot.wien/programm,LIVE@LOT
2026-09-11,das LOT,LIVE@LOT: PSYCHAMORE / RAW INFUSION,Konzert,10,PSYCHAMORE | RAW INFUSION,ECHOLOT,ECHOLOT - Kulturverein für transdisziplinäre Kunst & Artistic Research,MA7 | BMKöS | Bezirk Favoriten (10. Bezirk),https://www.lot.wien/programm,LIVE@LOT
2026-09-18,das LOT,CLUB MOSAIK – the voice,Club,10,[nicht dokumentiert],ECHOLOT,ECHOLOT - Kulturverein für transdisziplinäre Kunst & Artistic Research,MA7 | BMKöS | Bezirk Favoriten (10. Bezirk),https://www.lot.wien/programm,CLUB MOSAIK
2026-08-09,Semmelweisklinik,MØNTAGE CAMP 2026 (Round 3),Residenz,18,[nicht dokumentiert],Klub Møntage,Sandkasten Syndikat - Verein zur transkulturellen und interdisziplinären künstlerischen Vernetzung und Kulturvermittlung,MA7,https://kmon.klingt.org/dates,Klub Montage
2026-12-06,REAKTOR,LIMIN∆LE Festival,Festival,17,[nicht dokumentiert],SP•CE,sp ce. Verein zur Förderung von Kunst und Transdisziplinarität,MA7 | BMKöS,https://www.sp-ce.net/,LIMIN∆LE
