Verein	ZVR-Zahl	Bezirk	Foerderung_ref	Typ	Jahr	Betrag_EUR	Quelle	Anmerkungen	Programm	Kurzname	Verein_key
Althangrund - Verein für Kultur-, Wohn- und Sozialraum für Alle, Kurzform:\nAlthangrund für alle!	[nicht dokumentiert]	9	MA7	Beschluss	2024	5000.0	Förderbericht der Stadt Wien 2024	This is our Dancefloor	This is our Dancefloor		althangrund - verein für kultur-, wohn- und sozialraum für alle, kurzform:\nalthangrund für alle!
Bestand - Verein zur Vermittlung und Förderung von Musik, Kunst und Kultur	[nicht dokumentiert]	8	MA7	Beschluss	2024	5000.0	Förderbericht der Stadt Wien 2024	Made Up Realities	Made Up Realities		bestand - verein zur vermittlung und förderung von musik, kunst und kultur
ECHOLOT - Kulturverein für transdisziplinäre Kunst & Artistic Research	[nicht dokumentiert]	10	MA7	Beschluss	2024	8000.0	Förderbericht der Stadt Wien 2024	SOUNDSPACE - Die Musiksparte im Jahresprogramm von ECHOLOT	SOUNDSPACE		echolot - kulturverein für transdisziplinäre kunst & artistic research
Engelsharfen+Teufelsgeigen - Verein zur Förderung innovativer musikalischer und performativer Formate	[nicht dokumentiert]	5	MA7	Beschluss	2024	4000.0	Förderbericht der Stadt Wien 2024	Vereinsaktivitäten 2024			engelsharfen+teufelsgeigen - verein zur förderung innovativer musikalischer und performativer formate
Kunst- und Kulturverein Akusmonautikum	[nicht dokumentiert]	23	MA7	Beschluss	2024	8000.0	Förderbericht der Stadt Wien 2024	Akusmonautik	Akusmonautik		kunst- und kulturverein akusmonautikum
MusicScapes - Musik- & Kunstprojekte im gesellschaftlichen Kontext	[nicht dokumentiert]	19	MA7	Beschluss	2024	13000.0	Förderbericht der Stadt Wien 2024	Jahresprogramm von MusicScapes			musicscapes - musik- & kunstprojekte im gesellschaftlichen kontext
Österreichische Gesellschaft für zeitgenössische Musik (ÖGZM)	[nicht dokumentiert]	3	MA7	Beschluss	2024	10000.0	Förderbericht der Stadt Wien 2024	Tätigkeiten im Jahr 2024			österreichische gesellschaft für zeitgenössische musik (ögzm)
Pia Maria Palme	[Einzelperson]	19	MA7	Beschluss	2024	6000.0	Förderbericht der Stadt Wien 2024	Festival MUSIK NACH DER NATUR. Einzelperson	Festival MUSIK NACH DER NATUR		pia maria palme
PHACE - Ensemble für neue Musik	366181964	15	MA7	Beschluss	2024	130000.0	Förderbericht der Stadt Wien 2024	mehrjährige Gesamtförderung 2024-2025 (2024)			phace - ensemble für neue musik
Platypus - Verein für Neue Musik	881787755	5	MA7	Beschluss	2024	25000.0	Förderbericht der Stadt Wien 2024	Tätigkeiten im Jahr 2024			platypus - verein für neue musik
Reconsil - Verein zur Förderung zeitgenössischer Musik	90914757	5	MA7	Beschluss	2024	6000.0	Förderbericht der Stadt Wien 2024	Konzertzyklus 2024			reconsil - verein zur förderung zeitgenössischer musik
