datum;event_name;venue
2023-12-05;XX Y X: Motorherz;echoraum
2023-12-07;fmf: Duo Hanne de Backer - Signe Emmeluth;celeste
2023-12-07;Platypus: Echoes for WK;echoraum
2023-12-08;jahresendzeitschokoladenhohlkoerper;theater am werk / petersplatz
2023-12-09;jahresendzeitschokoladenhohlkoerper;theater am werk / petersplatz
2023-12-09;Circuit Fantôme 3 - Grand Finale;klangtheater
2023-12-11;monday improvisers session;celeste
2023-12-12;Nachhall#8 im Frau*feld: Musik & Geschicht...;echoraum
2023-12-14;Perspectives on Improvisation Improvisatio...;echoraum
2023-12-15;Perspectives on Improvisation Improvisatio...;echoraum
2023-12-16;smallforms;chateau rouge
2023-12-16;Perspectives on Improvisation Improvisatio...;echoraum
2023-12-16;Hautzinger/Stangl - a ship;reaktor
2023-12-16;20h online Rauschebaert;echoraeume
2023-12-18;monday improvisers session;celeste
2023-12-19;Finissage Inexhaustible Editions: SOUNDING...;echoraum
2023-12-20;der bloede dritte mittwoch #133;theater am werk / petersplatz
2023-12-21;on the couch #89 - Eberhard/Gross/Herbert;studio eberhard
2023-12-22;Werkstatt-Konzert Karolina Preuschl + Paul...;westbahnstudios
2024-01-09;XX Y X + IMAfiction: Elisabeth Schimana;echoraum
2024-01-12;Reflektierende Echos;echoraum
2024-01-15;monday improvisers session;celeste
2024-01-17;der bloede dritte mittwoch #134;echoraum
2024-01-19;on the couch #91 - Between feathers;studio eberhard
2024-01-20;TRIO NOW!;echoraum
2024-01-22;monday improvisers session;celeste
2024-01-24;Lisa Spalt & die Ex-Gewichtsheberin: Auf d...;echoraum
2024-01-24;oxymoron duet: in der mitte des lebens;alte schmiede
2024-01-25;hannes dufek: diachronic sound sculptures ...;reaktor
2024-01-26;Cornelius Cardew – Treatise;echoraum
2024-01-29;monday improvisers session;celeste
2024-01-31;Pneuma Zyklus 2024 – Episode I feat. Kar...;echoraum
2024-02-02;tütü: JUUN/Gnigler/Pollack;kunstraum ewigkeitsgasse
2024-02-05;monday improvisers session;celeste
2024-02-12;monday improvisers session;celeste
2024-02-18;Bottervogel;flucc
2024-02-19;monday improvisers session;celeste
2024-02-21;Der Blöde Dritte Mittwoch #135;theater am werk / petersplatz
2024-02-22;Circuit Fantôme prelude;althangrund für alle
2024-02-23;Circuit Fantôme prelude;althangrund für alle
2024-02-26;monday improvisers session;celeste
2024-02-29;on the couch #92 - espresso&mud;studio eberhard
2024-03-04;monday improvisers session;celeste
2024-03-09;smallforms;chateau rouge
2024-03-11;monday improvisers session;celeste
2024-03-13;LUPE - Susanna Gartmayer & Katharina Klement;alte schmiede
2024-03-13;on the couch #93 - Mitterer/Eberhard/Gross;studio eberhard
2024-03-14;fmf: Duo Dave Rempis & Tim Daisy;celeste
2024-03-14;Diego Losa – Workshop GRM Tools;mdw
2024-03-15;Velak gala #130;echoraeume
