Verein	Jahr	Betrag_EUR	Förderung_Bezirk	Projekttitel	Status	Quelle
czirp czirp - experimental and sonic arts. Verein zur Förderung Experimenteller und Klang-Kunst	2023	800	16	CLUB RADIOKOJE I HOLDING BREATH	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
czirp czirp - experimental and sonic arts. Verein zur Förderung Experimenteller und Klang-Kunst	2023	1000	8	SONIC CELL Mobile Mehr-Kanal-Klangzeile zur Vermittlung elektronischer Musik	Bestätigt (zeilenweise gegen KKW-Quelle verifiziert, 6. Juli)	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
czirp czirp - experimental and sonic arts. Verein zur Förderung Experimenteller und Klang-Kunst	2024	1000	16	CLUB RADIOKOJE Machbare Utopien	Bestätigt (zeilenweise gegen KKW-Quelle verifiziert, 6. Juli)	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
czirp czirp - experimental and sonic arts. Verein zur Förderung Experimenteller und Klang-Kunst	2024	2400	8	KLANGCHAIN 	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
czirp czirp - experimental and sonic arts. Verein zur Förderung Experimenteller und Klang-Kunst	2025	2900	[nicht dokumentiert]	[nicht dokumentiert]	Bestätigt	Transparenzportal IFG 2025, Förderung von Einzelvorhaben und Jahrestätigkeiten im Bereich der Bezirkskulturförderung
ExMachinisMusicae: Verein zur Förderung von transdisziplinärer, transkultureller und transmedialer Kunst	2025	1800	[nicht dokumentiert]	[nicht dokumentiert]	Bestätigt	Transparenzportal IFG 2025, Förderung von Einzelvorhaben und Jahrestätigkeiten im Bereich der Bezirkskulturförderung
Kulturverein WERK	2025	3500	[nicht dokumentiert]	[nicht dokumentiert]	Bestätigt	Transparenzportal IFG 2025, Förderung von Einzelvorhaben und Jahrestätigkeiten im Bereich der Bezirkskulturförderung
Central Garden	2025	4000	[nicht dokumentiert]	[nicht dokumentiert]	Bestätigt	Transparenzportal IFG 2025, Förderung von Einzelvorhaben und Jahrestätigkeiten im Bereich der Bezirkskulturförderung
FAM Kulturverein	2025	1500	[nicht dokumentiert]	[nicht dokumentiert]	Bestätigt	Transparenzportal IFG 2025, Förderung von Einzelvorhaben und Jahrestätigkeiten im Bereich der Bezirkskulturförderung
On the Couch - zur Förderung von Kunst und Kultur in der Gesellschaft	2025	3000	[nicht dokumentiert]	[nicht dokumentiert]	Bestätigt	Transparenzportal IFG 2025, Förderung von Einzelvorhaben und Jahrestätigkeiten im Bereich der Bezirkskulturförderung
czirp czirp - experimental and sonic arts. Verein zur Förderung Experimenteller und Klang-Kunst	2025	2900	[nicht dokumentiert]	[nicht dokumentiert]	Bestätigt	Transparenzportal IFG 2025, Förderung von Einzelvorhaben und Jahrestätigkeiten im Bereich der Bezirkskulturförderung
Verein zur Förderung der Neuen Musik im Kirchenraum	2025	3000	[nicht dokumentiert]	[nicht dokumentiert]	Bestätigt	Transparenzportal IFG 2025, Förderung von Einzelvorhaben und Jahrestätigkeiten im Bereich der Bezirkskulturförderung
Verein zur Förderung der Neuen Musik im Kirchenraum	2022	1500	1	Neue Musik in St. Ruprecht 2022	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Verein zur Förderung der Neuen Musik im Kirchenraum	2023	1000	1	Neue Musik in St. Ruprecht 2023	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
Verein zur Förderung der Neuen Musik im Kirchenraum	2024	1500	1	Neue Musik in St. Ruprecht	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
punctum collective, Verein zur Förderung zeitgenössischer Musik und transmedialer Kunstformate	2025	1500	[nicht dokumentiert]	Bezirkskulturförderung	Bestätigt	Transparenzportal IFG 2025
punctum collective, Verein zur Förderung zeitgenössischer Musik und transmedialer Kunstformate	2023	1500	15	Konzert „All that matters II“	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
id/l Agentur für Kunst und Kultur	2025	5900	[nicht dokumentiert]	Bezirkskulturförderung	Bestätigt	Transparenzportal IFG 2025
id/l Agentur für Kunst und Kultur	2022	6500	22	Sonic Territories Festival 2022	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
id/l Agentur für Kunst und Kultur	2024	800	18	Sonic Territories 2024 – Sound Art / Performance-Programm	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
id/l Agentur für Kunst und Kultur	2023	3000	15	"Ausstellung, Multimedia „The things that get lost – Eine Sound- und Videoinstallation von Lens Kühleitner“
"	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
